t,x,y,x,y
0,2.546581,1.198286,3.097785,-0.3819479
0.03343964,2.550619,1.198305,3.101483,-0.3820976
0.06687928,2.555444,1.198667,3.105571,-0.3821084
0.1003189,2.559029,1.199318,3.109396,-0.3817164
0.1337586,2.561468,1.198782,3.112862,-0.3818228
0.1671982,2.565646,1.198805,3.116725,-0.3817853
0.2006379,2.56586,1.199033,3.116086,-0.3817385
0.2340775,2.565905,1.199234,3.115877,-0.3817209
0.2675171,2.566536,1.199355,3.116258,-0.3815385
0.3009568,2.566607,1.199209,3.116608,-0.3813866
0.3343964,2.566344,1.199002,3.116946,-0.3812118
0.3678361,2.566292,1.198997,3.116791,-0.3813423
0.4012757,2.566352,1.199187,3.116886,-0.3814013
0.4347153,2.566457,1.199063,3.117011,-0.3814737
0.468155,2.566266,1.19913,3.117397,-0.3811959
0.5015946,2.434195,1.166601,3.178087,-0.3225638
0.5350343,2.219846,1.068684,3.297829,-0.1915052
0.5684739,1.994731,0.8300561,3.41192,-0.009281712
0.6019136,1.858715,0.5606593,3.453093,0.1970258
0.6353532,1.812218,0.2517518,3.424273,0.4425399
0.6687928,1.846078,-0.08834433,3.310919,0.6754799
0.7022325,2.026452,-0.3775923,3.133692,0.8202144
0.7356721,2.229692,-0.595645,2.908356,0.9030419
0.7691118,2.533637,-0.7212394,2.66848,0.9340886
0.8025514,2.772922,-0.7433639,2.500671,0.886022
0.8359911,2.841285,-0.7415104,2.450863,0.8539751
0.8694307,2.874308,-0.7392604,2.425006,0.8627975
0.9028703,2.888843,-0.7383733,2.416072,0.857776
0.93631,2.898988,-0.7375017,2.41079,0.8536555
0.9697496,2.901669,-0.7377094,2.407054,0.8530594
1.003189,2.901757,-0.7375742,2.40715,0.852925
1.036629,2.901451,-0.7380848,2.406778,0.851955
1.070069,2.901305,-0.7381596,2.406534,0.8520436
1.103508,2.901279,-0.7383594,2.406248,0.8517162
1.136948,2.901183,-0.7383794,2.406152,0.8521285
1.170387,2.901216,-0.7383458,2.406576,0.8520774
1.203827,2.901548,-0.738223,2.406325,0.8520352
1.237267,2.901393,-0.7382258,2.405819,0.851695
1.270706,2.901057,-0.7380179,2.405817,0.8518038
1.304146,2.901064,-0.7381694,2.405877,0.8519725
1.337586,2.901261,-0.7384342,2.406039,0.8515793
1.371025,2.900663,-0.737967,2.406027,0.8517078
1.404465,2.901065,-0.738449,2.405999,0.8518599
1.437905,2.901236,-0.738197,2.405898,0.8521733
1.471344,2.898347,-0.7396075,2.406346,0.8523128
1.504784,2.727639,-0.7469692,2.511629,0.9055695
1.538224,2.480345,-0.7062749,2.680556,0.9538033
1.571663,2.228013,-0.5606772,2.896374,0.9461443
1.605103,2.007288,-0.3434643,3.099865,0.8749516
1.638542,1.836076,-0.06253839,3.276166,0.7192408
1.671982,1.821069,0.3005226,3.415779,0.4421319
1.705422,1.848293,0.5952072,3.450464,0.1952237
1.738861,2.019697,0.8575416,3.396972,-0.05256844
1.772301,2.262716,1.088268,3.261411,-0.2685393
1.805741,2.511613,1.196606,3.122859,-0.3722297
1.83918,2.564312,1.202977,3.105241,-0.3885961
1.87262,2.589635,1.204193,3.107132,-0.3881174
1.90606,2.568663,1.198684,3.110053,-0.3867931
1.939499,2.563544,1.198631,3.112271,-0.3854593
1.972939,2.563202,1.198455,3.112484,-0.3861019
2.006379,2.562754,1.198214,3.112548,-0.3865044
2.039818,2.562671,1.198168,3.112534,-0.3869311
2.073258,2.56291,1.198414,3.112995,-0.3869046
2.106697,2.56298,1.198513,3.113199,-0.3870519
2.140137,2.563045,1.198514,3.113529,-0.3871336
2.173577,2.563006,1.198503,3.113521,-0.3873674
2.207016,2.562907,1.198586,3.113403,-0.38725
2.240456,2.562842,1.198625,3.113222,-0.387259
2.273896,2.562959,1.198589,3.113278,-0.3873122
2.307335,2.562924,1.198571,3.113253,-0.3873063
2.340775,2.562977,1.198589,3.113131,-0.387258
2.374215,2.563006,1.198579,3.113277,-0.3872944
2.407654,2.562866,1.198471,3.113216,-0.3874717
2.441094,2.562806,1.198501,3.113178,-0.3874169
2.474534,2.560047,1.191281,3.124089,-0.3778596
2.507973,2.348036,1.136176,3.221001,-0.2887294
2.541413,2.136625,0.9770656,3.334386,-0.1362901
2.574852,1.91193,0.7296956,3.434547,0.0514013
2.608292,1.820884,0.4361725,3.448336,0.2763151
2.641732,1.818936,0.1118806,3.369228,0.5250333
2.675171,1.886925,-0.209052,3.232119,0.7173499
2.708611,2.101846,-0.4878784,3.045487,0.8840876
2.742051,2.416632,-0.6567626,2.82321,0.9415581
2.77549,2.692252,-0.7399069,2.604582,0.9214603
2.80893,2.831703,-0.7244465,2.474747,0.8907279
2.84237,2.874993,-0.713605,2.445336,0.8732858
2.875809,2.902058,-0.7298292,2.427418,0.865437
2.909249,2.911577,-0.7295032,2.420682,0.8596498
2.942689,2.926375,-0.7274253,2.416284,0.8544377
2.976128,2.920583,-0.7286328,2.41631,0.8540269
3.009568,2.92094,-0.7285478,2.416419,0.8538093
3.043007,2.92118,-0.7284935,2.416468,0.8537917
3.076447,2.92133,-0.7285335,2.41656,0.8540259
3.109887,2.921069,-0.7291906,2.416532,0.8534724
3.143326,2.921397,-0.7291302,2.416501,0.8532214
3.176766,2.921531,-0.7285011,2.416354,0.8522891
3.210206,2.921261,-0.7288535,2.41636,0.8529092
3.243645,2.921371,-0.7288499,2.416388,0.8527877
3.277085,2.921509,-0.7285613,2.416567,0.8532225
3.310525,2.921456,-0.7290038,2.41649,0.8531109
3.343964,2.921497,-0.7289996,2.416531,0.8531425
3.377404,2.921378,-0.7288651,2.416533,0.8532466
3.410844,2.921412,-0.7286788,2.416567,0.8528857
3.444283,2.921242,-0.7291585,2.416457,0.8527219
3.477723,2.883636,-0.7294782,2.428189,0.8623471
3.511162,2.656864,-0.7328446,2.574328,0.929062
3.544602,2.394515,-0.6565195,2.761916,0.9385766
3.578042,2.138943,-0.5095444,2.975251,0.9045932
3.611481,1.949925,-0.2732706,3.179408,0.7919979
3.644921,1.800273,0.02411719,3.340481,0.5917625
3.678361,1.809378,0.3629724,3.430932,0.3653312
3.7118,1.888038,0.6628664,3.437337,0.1161559
3.74524,2.10297,0.9439246,3.357765,-0.1225616
3.77868,2.356126,1.133754,3.21412,-0.3096563
3.812119,2.573158,1.194941,3.123267,-0.3807239
3.845559,2.588028,1.196478,3.11987,-0.3847739
3.878998,2.582427,1.194672,3.122942,-0.3827833
3.912438,2.575543,1.193915,3.125904,-0.3808044
3.945878,2.573137,1.193483,3.126554,-0.3805337
3.979317,2.573351,1.193822,3.12706,-0.379964
4.012757,2.573446,1.193968,3.127689,-0.3803552
4.046197,2.573471,1.19406,3.127733,-0.3803937
4.079636,2.573671,1.19413,3.127993,-0.3803519
4.113076,2.573672,1.194186,3.128065,-0.3805175
4.146516,2.573566,1.194244,3.12793,-0.3804073
4.179955,2.573455,1.194221,3.127863,-0.3805294
4.213395,2.573535,1.194381,3.127875,-0.3806084
4.246835,2.573615,1.194423,3.127911,-0.3805411
4.280274,2.573641,1.194439,3.128033,-0.3805676
4.313714,2.573606,1.194585,3.128006,-0.3804693
4.347153,2.573349,1.194556,3.127828,-0.3804392
4.380593,2.573375,1.194561,3.127862,-0.3804335
4.414033,2.573522,1.194575,3.128083,-0.3804941
4.447472,2.573565,1.194531,3.128053,-0.3804938
4.480912,2.506036,1.183257,3.148342,-0.3710057
4.514352,2.29022,1.096746,3.253212,-0.2704999
4.547791,2.045505,0.9073226,3.350087,-0.1399579
4.581231,1.888443,0.6544254,3.428272,0.07115669
4.614671,1.803074,0.3876873,3.438479,0.3240299
4.64811,1.808406,0.05380698,3.369035,0.5387055
4.68155,1.950736,-0.2901526,3.200637,0.6923896
4.71499,2.192022,-0.5577575,3.019596,0.8913577
4.748429,2.486718,-0.7043507,2.798072,0.9404915
4.781869,2.742786,-0.7512741,2.58936,0.9120707
4.815308,2.834825,-0.7299322,2.458167,0.8814178
4.848748,2.868995,-0.7367514,2.437742,0.8672277
4.882188,2.894928,-0.7350985,2.419741,0.8584752
4.915627,2.905493,-0.7339373,2.412317,0.8524749
4.949067,2.90639,-0.7345359,2.410851,0.8538896
4.982507,2.905849,-0.7345971,2.410056,0.8529887
5.015946,2.905696,-0.7347896,2.409872,0.8532516
5.049386,2.905779,-0.7351629,2.409789,0.8535294
5.082826,2.905621,-0.7349107,2.40979,0.8535833
5.116265,2.90527,-0.7349205,2.409847,0.8537798
5.149705,2.905077,-0.73494,2.409864,0.8539433
5.183145,2.9048,-0.7353194,2.409668,0.8540289
5.216584,2.904794,-0.735258,2.409576,0.8539023
5.250024,2.904953,-0.7352823,2.409741,0.8538295
5.283463,2.904882,-0.7350852,2.409678,0.8538835
5.316903,2.904699,-0.7351801,2.40967,0.8539999
5.350343,2.904752,-0.7351322,2.409529,0.8538958
5.383782,2.904652,-0.7352373,2.409537,0.854008
5.417222,2.904754,-0.7351388,2.409652,0.8541351
5.450662,2.919641,-0.7343187,2.409487,0.8535271
5.484101,2.868995,-0.7367514,2.44077,0.8890959
5.517541,2.640683,-0.7392575,2.598605,0.9534003
5.550981,2.42601,-0.673425,2.795322,0.9746213
5.58442,2.146989,-0.5220336,3.011125,0.927072
5.61786,1.914945,-0.2495695,3.222306,0.7478472
5.6513,1.814317,0.08401489,3.362973,0.5624524
5.684739,1.791992,0.3808658,3.440346,0.3370205
5.718179,1.903298,0.6974412,3.417559,0.0505853
5.751618,2.085277,0.9599957,3.31287,-0.1840001
5.785058,2.331208,1.124097,3.155204,-0.3366211
5.818498,2.572753,1.203382,3.106687,-0.390034
5.851937,2.581194,1.203788,3.107182,-0.390723
5.885377,2.572753,1.203382,3.11089,-0.3887508
5.918817,2.568491,1.20293,3.112775,-0.3875826
5.952256,2.568459,1.202893,3.11251,-0.3881518
5.985696,2.568355,1.203004,3.112337,-0.3885082
6.019136,2.568262,1.20302,3.112412,-0.388643
6.052575,2.568259,1.203008,3.112235,-0.388819
6.086015,2.568228,1.203005,3.112044,-0.3891035
6.119455,2.568201,1.203043,3.111981,-0.3891839
6.152894,2.568309,1.203106,3.112038,-0.3891496
6.186334,2.568336,1.203086,3.11196,-0.3892829
6.219773,2.568359,1.203065,3.111959,-0.3892427
6.253213,2.568376,1.203047,3.111927,-0.3892687
6.286653,2.568391,1.203058,3.111895,-0.3892962
6.320092,2.568249,1.203017,3.111822,-0.389416
6.353532,2.568288,1.203049,3.111903,-0.389409
6.386972,2.568351,1.203035,3.111935,-0.3894435
6.420411,2.568254,1.20301,3.11191,-0.3893038
6.453851,2.568204,1.203112,3.112185,-0.3892203
6.487291,2.439319,1.163131,3.16839,-0.3366552
6.52073,2.200207,1.0332,3.285398,-0.2111751
6.55417,1.998103,0.8373621,3.38384,-0.03641359
6.58761,1.858329,0.5768349,3.42902,0.1640832
6.621049,1.807424,0.2275114,3.418635,0.3826729
6.654489,1.856595,-0.09162373,3.32758,0.5978221
6.687928,2.040822,-0.4042717,3.151496,0.8040422
6.721368,2.27927,-0.6127899,2.948577,0.9047749
6.754808,2.563498,-0.7175837,2.727531,0.9454387
6.788247,2.784585,-0.7408059,2.54011,0.8975363
6.821687,2.8694,-0.7451923,2.432276,0.8886879
6.855127,2.886282,-0.7443815,2.405137,0.8731709
6.888566,2.900607,-0.7441085,2.395026,0.8668788
6.922006,2.90597,-0.7433859,2.392024,0.8651573
6.955446,2.907271,-0.7439994,2.39127,0.8647143
6.988885,2.907508,-0.7443139,2.391837,0.8649894
7.022325,2.907376,-0.7440904,2.392346,0.8654799
7.055765,2.907182,-0.7441541,2.392696,0.8655051
7.089204,2.906874,-0.7441848,2.392586,0.8656652
7.122644,2.906701,-0.7438344,2.392623,0.8657634
